parameter,symbol,value,unit,status,primary_source,page_or_figure,supplementary_value,current_small_model_value,paper_matched_target,notes
uel_displacement_layer,,U2 four-node displacement layer,,exact_from_supplementary,SingleNotch.inp,"*User element, type=U2",U2,U2,U2 with updated N_ELEM,Appendix B defines layer mechanics.
umat_visualization_layer,,CPS4 umatelem,,exact_from_supplementary,SingleNotch.inp,"*Element, TYPE=CPS4",CPS4,CPS4,CPS4,Used for post-processing SDVs.
source_n_elem,N_ELEM,null,elements,unresolved,SingleNotch.for,N_ELEM comments and parameter,3930,3930,null,Must match new physical element count exactly before run.
reaction_force_set,,RP,,exact_from_supplementary,SingleNotch.inp,"*Node Output, nset=RP",RP,RP,source-traceable RP or top resultant,Paper gives y reaction force; deck uses RP.
phase_field_output,,SDV on umatelem,,exact_from_supplementary,SingleNotch.inp,"*element output, elset=umatelem",SDV,SDV,SDV on UMAT layer,Need record SDV index convention.
contour_comparison_states,,null,mm,unresolved,Molnar and Gravouil 2017,Fig. 6b,null,null,null,Figure does not label displacement states.
fig7_curve_label,,Molnar lc=0.0075 mm candidate,,inferred,Molnar and Gravouil 2017,Fig. 7 legend,,,Molnar lc=0.0075 mm candidate,Visible but digitization still not started; keep config curve_label null.
digitized_reference_coordinates,,null,,unresolved,Project reference files,rf_u_reference.csv empty,null,null,null,Approximate paper data not yet digitized.
acceptance_tolerances,,null,,unresolved,Supervisor decision,pending,null,null,null,Do not invent tolerances.
fig7_digitized_reference,lc=0.0075,91 processed points,,measured_from_figure,Molnar and Gravouil 2017,Fig. 7,,,references/derived/molnar_gravouil_2017/paper_matched_single_notch/fig7_lc_0p0075_processed.csv,Approximate published reference only; 877 raw red-threshold points preserved separately.
fig7_digitization_uncertainty,u,4e-5,mm,measured_from_figure,Molnar and Gravouil 2017,Fig. 7,,,,Estimated from calibration/line width/overlap; not author data.
fig7_digitization_uncertainty,F,0.015,kN,measured_from_figure,Molnar and Gravouil 2017,Fig. 7,,,,Estimated from calibration/line width/overlap; larger near steep drop.
step_termination_displacement_candidate,u_final,0.0067,mm,measured_from_figure,Molnar and Gravouil 2017,Fig. 7 axis,0.01 deck target,0.007 extracted final state,0.0067,Adopted from visible Fig. 7 curve extent for candidate v1; final paper analysis displacement not explicitly stated.
tensile_fine_steps_candidate,,170,steps,derived,Molnar Sec. 3.2 and Fig. 7 axis,,2000 supplementary maximum,170,Derived as (0.0067-0.005)/1e-5 after 500 coarse increments.
refined_zone_width_candidate,,0.52,mm,adopted_reconstruction_choice,Project reconstruction choice,candidate v1,,,x=-0.02..0.5,Not published; chosen to cover notch-tip process zone and full ligament.
refined_zone_height_candidate,,0.01,mm,adopted_reconstruction_choice,Project reconstruction choice,candidate v1,,,y=-0.005..0.005,Not published; maintains h=0.001 along ligament strip.
global_element_size_candidate,,0.025,mm,adopted_reconstruction_choice,Project reconstruction choice,candidate v1,,,0.025,Not published; element count remains a consistency check only.
mesh_transition_law_candidate,,linear_size_growth,,adopted_reconstruction_choice,Project reconstruction choice,candidate v1,,,linear_size_growth,Inspired by paper double-notch description but not published for single notch.
candidate_v1_physical_elements,Nelem,21760,elements,generated,build_molnar_paper_matched_single_notch.py,candidate v1,,,21760,Within 1.1 percent of approximate 22000 statement; not tuned to exact count.
candidate_v1_layered_elements,Nlayered,65280,elements,generated,build_molnar_paper_matched_single_notch.py,candidate v1,,,65280,Three-layer U1/U2/CPS4 candidate.
static_validation_classification,,static_validation_fail,,generated,validate_molnar_paper_matched_single_notch.py,STATIC_VALIDATION.md,,,static_validation_fail,Provenance review found missing notch representation missing UEL property blocks missing in-plane rigid-body constraint and inconsistent Step-1 loading; runnable remains false.
candidate_v2_static_validation_classification,,static_validation_pass,,generated_review,results/validation/molnar_paper_matched_single_notch_v2/STATIC_VALIDATION.md,2026-07-16,,,static_validation_pass,v2 generated deck passed static validation; no Abaqus/PBS run performed.
candidate_v2_runnable_status,,true,,generated_review,configs/molnar_paper_matched_single_notch.yaml,2026-07-16,,,true,Runnable means eligible for the previously authorized one serial run only after commit/push/sync/clean-HPC checks.
candidate_v2_step1_increment,du1,1.0e-5,mm,derived_from_supplementary_endpoint_count,references/derived/molnar_gravouil_2017/paper_matched_single_notch/LOADING_SCHEDULE_RESOLUTION.md,2026-07-16,,,1.0e-5,Rejects v1 1e-4 mm interpretation because 500*1e-4 mm=0.05 mm.
candidate_v2_notch_method,,split duplicated nodes on open notch faces,,adopted_reconstruction_choice,references/derived/molnar_gravouil_2017/paper_matched_single_notch/NOTCH_IMPLEMENTATION.md,2026-07-16,,,split_node_notch,Exact paper mesh unavailable; deterministic split-node topology preserves 0.5 mm open notch.
candidate_v2_physical_elements,N,33852,elements,generated,models/generated/molnar_gravouil_2017/paper_matched_single_notch_v2/mesh_statistics.csv,2026-07-16,,,33852,Approximate 22000 paper count treated as consistency target not strict input.
